model,horizon,MAE,RMSE
B1_HMM_aux_no_gate,1,24.723684310913086,32.75087404904734
B1_HMM_aux_no_gate,2,22.228246688842773,29.579711807012885
B1_HMM_aux_no_gate,3,22.911460876464844,30.40413019332242
B1_HMM_aux_no_gate,4,27.23540496826172,35.95124737057117
B1_HMM_aux_no_gate,5,23.736602783203125,31.33962343536234
B1_HMM_aux_no_gate,6,29.744014739990234,38.5367034740705
B1_HMM_aux_no_gate,7,21.923076629638672,29.285814578851568
B1_HMM_aux_no_gate,8,22.604841232299805,30.04818619571477
B1_HMM_aux_no_gate,9,23.68514060974121,31.443935334749966
B1_HMM_aux_no_gate,10,24.126388549804688,31.97742237880013
B1_HMM_aux_no_gate,11,22.71648406982422,30.253413740745852
B1_HMM_aux_no_gate,12,23.970182418823242,31.78432357464378
B1_HMM_aux_no_gate,13,24.009859085083008,32.09872846610322
B1_HMM_aux_no_gate,14,30.287961959838867,40.46169098666046
B1_HMM_aux_no_gate,15,24.052650451660156,32.141933386713646
B1_HMM_aux_no_gate,16,22.955942153930664,30.452373403372643
B1_HMM_aux_no_gate,17,26.716928482055664,34.844750195846395
B1_HMM_aux_no_gate,18,22.576807022094727,30.050256976204672
B1_HMM_aux_no_gate,19,23.89858627319336,31.47140706880811
B1_HMM_aux_no_gate,20,23.26947593688965,30.912404002138143
B1_HMM_aux_no_gate,21,30.515743255615234,40.1675233446204
B1_HMM_aux_no_gate,22,26.052736282348633,33.59116450806391
B1_HMM_aux_no_gate,23,23.223154067993164,30.78361249658402
B1_HMM_aux_no_gate,24,23.37749481201172,30.948549952148404
B5_LightGBM_deep_residual,1,15.638525009155273,20.690526089808515
B5_LightGBM_deep_residual,2,22.648500442504883,29.779070331109335
B5_LightGBM_deep_residual,3,22.28630828857422,29.4307659246265
B5_LightGBM_deep_residual,4,25.83563804626465,34.224917395124926
B5_LightGBM_deep_residual,5,29.327289581298828,38.54967910098685
B5_LightGBM_deep_residual,6,32.98612976074219,42.75760194882382
B5_LightGBM_deep_residual,7,36.152099609375,46.41790678512442
B5_LightGBM_deep_residual,8,35.64714050292969,46.98009832548113
B5_LightGBM_deep_residual,9,37.137123107910156,47.71661136333971
B5_LightGBM_deep_residual,10,36.518375396728516,47.118658392933895
B5_LightGBM_deep_residual,11,36.722259521484375,47.772243571548685
B5_LightGBM_deep_residual,12,38.20499801635742,49.72114377879772
B5_LightGBM_deep_residual,13,39.96596145629883,51.54902049187623
B5_LightGBM_deep_residual,14,40.47113037109375,52.11565507509476
B5_LightGBM_deep_residual,15,37.15215301513672,48.30442910431454
B5_LightGBM_deep_residual,16,36.7885627746582,47.71224937303182
B5_LightGBM_deep_residual,17,36.665794372558594,47.17412631262369
B5_LightGBM_deep_residual,18,33.479148864746094,43.63700251256094
B5_LightGBM_deep_residual,19,31.31247901916504,41.42261616415376
B5_LightGBM_deep_residual,20,28.593215942382812,37.61238530484756
B5_LightGBM_deep_residual,21,26.968036651611328,35.33835993106057
B5_LightGBM_deep_residual,22,25.69270133972168,33.71252259454193
